time_us,x,y,z,qw,qx,qy,qz
9597319,-1.39127,0.542152,-0.076165,-0.035183,0.00657873,0.00478535,0.999348
9630753,-1.39128,0.542192,-0.0762178,-0.0349475,0.00675657,0.00462167,0.9993561
9663619,-1.39121,0.542132,-0.0763823,-0.0356522,0.00786731,0.00354988,0.999327
9697317,-1.39114,0.542151,-0.076335,-0.0356338,0.00754565,0.00485246,0.999325
9730426,-1.39121,0.542092,-0.0762031,-0.035445,0.00662543,0.00406001,0.999341
9764739,-1.39122,0.542126,-0.0762217,-0.0355576,0.00711946,0.00392614,0.9993351
9797867,-1.39119,0.542137,-0.076415,-0.0350982,0.00787986,0.00259652,0.999349
9831005,-1.39114,0.54218,-0.0761975,-0.0351123,0.00627142,0.00445072,0.999354
9864091,-1.39111,0.542237,-0.0762109,-0.0353282,0.00605272,0.0045685,0.999347
9897163,-1.39115,0.5422,-0.0763452,-0.0352129,0.00751956,0.00423903,0.9993431
9995308,-1.39111,0.542238,-0.0762761,-0.0353076,0.00650939,0.00365016,0.999349
9995926,-1.39123,0.542115,-0.0762876,-0.0353588,0.00748655,0.0038375,0.999339
9997624,-1.3912,0.542173,-0.0763081,-0.0354128,0.0072034,0.00395668,0.9993391
10029574,-1.39119,0.542214,-0.0762959,-0.0352249,0.00706562,0.00373018,0.999348
10063990,-1.39122,0.542216,-0.0763813,-0.0346297,0.00794767,0.00218233,0.999366
10096791,-1.39125,0.542233,-0.0762197,-0.0345781,0.00717677,0.00385845,0.999369
10130127,-1.39126,0.542201,-0.0763274,-0.034718,0.0082381,0.00446074,0.9993531
10164106,-1.39127,0.542088,-0.07621,-0.0348421,0.00732642,0.00417591,0.999357
10196621,-1.3913,0.542144,-0.0762319,-0.0345475,0.0075856,0.00387437,0.999367
10230916,-1.39129,0.54222,-0.0763254,-0.0345482,0.00840228,0.00318113,0.9993631
10263648,-1.39122,0.542247,-0.0762795,-0.0348864,0.00807913,0.00502102,0.999346
10297032,-1.39123,0.542154,-0.0761704,-0.0346568,0.00710125,0.00370232,0.999367
10330320,-1.3912,0.542293,-0.0762576,-0.0343395,0.00716795,0.00424049,0.999376
10363743,-1.39113,0.542136,-0.0763362,-0.0349785,0.00765763,0.00268745,0.9993551
10397852,-1.39112,0.542209,-0.076146,-0.034772,0.00625089,0.00429918,0.999366
10430369,-1.39118,0.542215,-0.0761582,-0.0345228,0.0065569,0.00452895,0.999372
10463777,-1.39116,0.542172,-0.0762791,-0.0344796,0.00774601,0.00392646,0.9993681
10496551,-1.39107,0.542211,-0.0762095,-0.0349938,0.00637895,0.00292313,0.999363
10531193,-1.39116,0.542133,-0.0761858,-0.0351341,0.00676853,0.00460716,0.999349
10565097,-1.39118,0.542144,-0.0762861,-0.0349677,0.00727873,0.0040666,0.9993541
